Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Kalorie,Czas,Średnie tętno,Maksymalne tętno,Aerobowy TE,Średni rytm biegu,Maksymalny rytm biegu,Średnie tempo,Najlepsze tempo,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Training Stress Score® (TSS®),Trudność,Płynność,Czas nurkowania,Minimalna temperatura,Przerwa powierzchniowa,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Bieganie,2021-10-29 17:04:38,false,"Myślenice Bieganie","6.08","455","00:31:26","--","--","--","168","176","5:10","4:08","102","123","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:27.86","7","0.0","00:31:24","00:32:30","261","353"
Bieganie,2021-10-08 16:34:46,false,"Myślenice Bieganie","6.04","451","00:30:19","--","--","--","170","181","5:01","4:16","104","121","1.17","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:10.33","7","0.0","00:30:17","00:31:26","261","353"
Bieganie,2021-10-07 18:20:34,false,"Siepraw Bieganie","4.46","335","00:23:19","--","--","--","169","192","5:14","4:27","89","93","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","02:31.13","5","0.0","00:23:14","00:23:59","261","353"
Bieganie,2021-10-07 18:09:48,false,"Myślenice Bieganie","1.17","87","00:05:58.2","--","--","--","168","172","5:06","4:58","--","31","1.17","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:53.65","2","0.0","00:05:56.7","00:06:01.2","316","351"
Bieganie,2021-09-24 17:42:46,false,"Siepraw Bieganie","5.02","375","00:22:05","--","--","--","175","181","4:24","4:00","2","4","1.30","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:05.15","6","0.0","00:22:03","00:22:07","262","265"
Bieganie,2021-09-20 17:53:34,false,"Myślenice Bieganie","6.08","455","00:30:34","--","--","--","170","181","5:02","4:08","105","127","1.17","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:23.67","7","0.0","00:00:00","00:32:05","261","353"
Bieganie,2021-09-16 16:35:37,false,"Myślenice Bieganie","6.11","459","00:30:31","--","--","--","171","177","5:00","3:53","114","132","1.17","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:30.83","7","0.0","00:00:00","00:30:31","261","353"
Bieganie,2021-08-23 16:48:52,false,"Myślenice Bieg","7.63","577","00:37:19","--","--","--","172","182","4:53","4:21","124","130","1.19","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","03:32.68","8","0.0","00:00:00","00:37:19","256","351"
Bieganie,2021-08-20 17:08:29,false,"Myślenice Bieg","6.10","456","00:28:43","--","--","--","173","180","4:42","3:43","117","131","1.23","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:28.83","7","0.0","00:00:00","00:29:54","261","353"
Bieganie,2021-08-17 17:46:12,false,"Siepraw Bieg","5.03","376","00:22:08","--","--","--","174","186","4:24","3:52","2","3","1.30","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:08.90","6","0.0","00:00:00","00:22:26","262","265"
Bieganie,2021-08-12 17:35:45,false,"Myślenice Bieg","11.53","798","01:14:19","--","--","--","156","196","6:27","4:15","547","539","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","03:07.30","12","0.0","00:00:00","01:25:30","289","673"
Bieganie,2021-08-01 13:16:31,false,"Myślenice Bieg","7.51","564","00:36:26","--","--","--","173","180","4:51","4:20","121","132","1.19","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","02:44.76","8","0.0","00:36:24","00:44:43","256","350"
Bieganie,2021-07-26 20:21:37,false,"Myślenice Bieg","6.08","457","00:29:14","--","--","--","171","180","4:48","4:05","101","120","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:25.90","7","0.0","00:29:12","00:49:56","261","353"
Bieganie,2021-07-24 13:03:11,false,"Myślenice Bieg","13.03","943","01:11:53","--","--","--","164","188","5:31","4:12","347","336","1.10","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:07.47","14","0.0","01:11:44","01:22:18","305","618"
Bieganie,2021-07-22 20:26:23,false,"Myślenice Bieg","7.51","562","00:35:09","--","--","--","173","178","4:41","4:13","112","125","1.23","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","02:34.51","8","0.0","00:35:06","00:37:36","257","351"
Bieganie,2021-07-19 20:46:55,false,"Myślenice Bieg","6.09","457","00:28:03","--","--","--","174","210","4:36","3:36","105","128","1.25","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:24.73","7","0.0","00:28:02","00:30:00","261","353"
Bieganie,2021-06-29 19:31:23,false,"Myślenice Bieg","7.67","575","00:36:39","--","--","--","172","184","4:47","4:13","118","120","1.22","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","03:21.15","8","0.0","00:36:37","00:38:17","257","351"
Bieganie,2021-06-26 12:20:40,false,"Myślenice Bieg","13.79","1,001","01:16:56","--","--","--","163","227","5:35","3:36","434","414","1.09","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","04:00.31","14","0.0","01:16:48","01:39:12","327","564"
Bieganie,2021-06-20 19:31:38,false,"Sułkowice Bieg","12.04","848","01:15:45","--","--","--","157","245","6:18","3:43","588","578","1.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:11.06","13","0.0","01:15:03","01:38:25","485","857"
Bieganie,2021-06-13 18:54:12,false,"Myślenice Bieg","11.88","853","01:13:17","--","--","--","162","239","6:10","4:12","537","524","1.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","04:48.58","12","0.0","01:13:08","01:31:00","290","673"
Bieganie,2021-06-07 16:44:32,false,"Myślenice Bieg","6.06","452","00:27:20","--","--","--","175","187","4:31","3:50","109","131","1.27","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:13.24","7","0.0","00:27:07","00:34:37","261","353"
Bieganie,2021-05-31 20:27:37,false,"Myślenice Bieg","6.07","455","00:27:56","--","--","--","173","227","4:36","4:03","123","130","1.25","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:17.86","7","0.0","00:27:53","00:29:48","260","350"
Bieganie,2021-05-23 19:58:37,false,"Kraków Bieg","7.54","562","00:37:51","--","--","--","169","181","5:01","4:00","68","80","1.18","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","02:57.26","8","0.0","00:37:37","00:57:35","210","263"
Bieganie,2021-05-20 20:25:51,false,"Myślenice Bieg","6.08","453","00:28:41","--","--","--","172","186","4:43","3:56","107","124","1.24","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:20.93","7","0.0","00:28:33","00:30:24","261","353"
Bieganie,2021-05-12 17:06:19,false,"Myślenice Bieg","10.79","779","00:59:54","--","--","--","160","219","5:33","4:06","353","331","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","04:03.08","11","0.0","00:59:41","01:15:08","326","567"
Bieganie,2021-04-28 19:57:31,false,"Myślenice Bieg","6.04","451","00:29:12","--","--","--","170","191","4:50","4:01","117","129","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:11.40","7","0.0","00:28:59","00:40:03","260","350"
Bieganie,2021-04-26 17:22:36,false,"Myślenice Bieg","9.87","708","00:54:49","--","--","--","160","186","5:33","3:44","314","310","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","04:14.37","10","0.0","00:54:32","01:17:48","315","619"
Bieganie,2021-04-22 19:09:47,false,"Myślenice Bieg","6.10","459","00:30:49","--","--","--","169","179","5:03","4:27","116","132","1.17","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:30.36","7","0.0","00:30:48","00:30:49","261","353"
Bieganie,2021-04-19 16:52:26,false,"Myślenice Bieg","6.07","462","00:31:31","--","--","--","167","180","5:11","4:05","114","129","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:22.36","7","0.0","00:31:13","00:32:00","260","350"
Bieganie,2021-03-30 16:42:53,false,"Siepraw Bieg","2.84","214","00:17:15","--","--","--","161","181","6:05","4:03","5","9","1.02","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","05:02.23","3","0.0","00:16:46","00:18:05","263","268"
Bieganie,2021-02-28 13:17:37,false,"Myślenice Bieg","5.69","430","00:29:15","--","--","--","170","240","5:09","4:26","114","126","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","04:01.97","6","0.0","00:29:05","00:32:37","260","350"
Bieganie,2021-02-22 16:50:32,false,"Myślenice Bieg","6.11","460","00:31:21","--","--","--","169","201","5:08","4:23","107","128","1.16","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:31.95","7","0.0","00:31:06","00:40:22","261","353"
Bieganie,2021-02-13 14:47:03,false,"Mogilany Bieg","7.29","538","00:39:37","--","--","--","167","183","5:26","4:23","156","151","1.10","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:33.79","8","0.0","00:39:23","00:50:27","301","359"
Bieganie,2021-02-07 14:24:37,false,"Myślenice Bieg","10.15","732","01:07:37","--","--","--","157","184","6:40","4:36","298","290","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:48.08","11","0.0","01:06:53","01:15:05","330","565"
Bieganie,2021-02-03 18:08:36,false,"Myślenice Bieg","6.27","465","00:33:32","--","--","--","166","178","5:21","4:28","115","119","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","02:53.33","7","0.0","00:33:29","00:35:33","260","350"
Bieganie,2021-01-21 18:22:51,false,"Myślenice Bieg","6.10","460","00:32:58","--","--","--","166","189","5:24","4:36","107","128","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:35.53","7","0.0","00:32:42","00:33:04","261","353"
Bieganie,2021-01-16 13:51:48,false,"Myślenice Bieg","9.53","687","01:05:45","--","--","--","157","180","6:54","4:01","315","283","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","02:40.03","10","0.0","01:04:18","01:18:21","306","611"
Bieganie,2021-01-12 17:07:08,false,"Myślenice Bieg","5.95","442","00:30:26","--","--","--","169","201","5:07","2:37","112","132","1.16","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","04:51.79","6","0.0","00:30:23","00:35:15","261","353"
Bieganie,2021-01-10 13:10:20,false,"Myślenice Bieg","6.55","487","00:35:53","--","--","--","167","194","5:29","4:32","132","145","1.09","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","03:09.50","7","0.0","00:35:41","00:35:57","260","350"
